"id","category","title","description","filename"
"94838c7f-c9a5-4e47-8bc2-290116dae407","Tech products","Lumina Vision AR Glasses","See beyond reality with Lumina Vision. These ultra-lightweight augmented reality glasses overlay real-time navigation, notifications, and translation directly onto your field of view without obstructing your natural sight. Stay connected while staying present.","tech products_1.png"
"69499fe7-cb42-4f3d-8e89-9b243b31ac8d","Tech products","AuraPad Haptic Tablet","Experience the texture of every brushstroke. The AuraPad uses advanced ultrasonic haptics to mimic the feel of paper, canvas, and charcoal on a smooth glass surface. Designed for artists who demand a tactile connection to their digital work.","tech products_2.png"
"b2ff83a1-8b81-4ef0-b8f5-99513f44ecd3","Tech products","Chronos Modular Smartwatch","The last watch you will ever buy. Chronos features a unique modular core, allowing you to swap between a high-resolution OLED display and a traditional mechanical movement in seconds. Premium titanium construction meets cutting-edge biosensors.","tech products_3.png"
"1d21b2ed-6e01-4245-bf55-7ca6cd49c070","Tech products","EchoSphere Glass Speaker","Sound that fills the room, design that defines it. The EchoSphere is a 360-degree wireless speaker housed in a hand-blown borosilicate glass dome, featuring a ferrofluid core that dances to the rhythm of your favorite tracks.","tech products_4.png"
"84ada017-aee5-4308-a941-3edfa6ad9934","Tech products","Vortex VR Air Goggles","Ditch the bulk and dive into the metaverse. Vortex VR goggles are no thicker than a pair of ski goggles, offering 8K per-eye resolution and integrated spatial audio for a truly immersive, tether-free experience.","tech products_5.png"
"672a0ed4-46c1-4868-9544-49a121e6b9c2","Tech products","Flux Customizable OLED Keyboard","Every key is a canvas. The Flux Keyboard features individual OLED screens under every keycap, allowing you to instantly switch layouts, display custom icons for shortcuts, or run mini-widgets right on your deck.","tech products_6.png"
"d242dff1-5586-4e3a-bcab-616df7aaf7ae","Tech products","SolarNode Portable Power Hub","Power and connectivity, anywhere on Earth. SolarNode combines a high-capacity solid-state battery with a fold-out solar array and a built-in satellite Wi-Fi hotspot. Perfect for off-grid explorers and digital nomads.","tech products_7.png"
"d269a33b-e3e6-4431-ad5c-a5972c35d8b3","Tech products","Zenith 360 Follow-Drone","Your personal cinematographer. The Zenith is a palm-sized drone that uses AI-powered obstacle avoidance to follow you autonomously, capturing 8K 360-degree video without the need for a controller.","tech products_8.png"
"b2621dbe-6359-4beb-97ee-22521ae0039b","Tech products","PulseRing Biometric Tracker","Comprehensive health tracking, miniaturized. The PulseRing monitors your heart rate, blood oxygen, and stress levels from a discreet, scratch-resistant ceramic band. Waterproof, stylish, and lasts 10 days on a single charge.","tech products_9.png"
"96c52a83-7c9b-4180-b431-54ae082d1290","Tech products","Terra Eco-Laptop","High performance, zero guilt. The Terra Laptop is built from reclaimed ocean plastic and sustainable bamboo, featuring a fully modular design that allows you to upgrade the CPU, RAM, and screen to ensure it never hits a landfill.","tech products_10.png"
"2b424049-b655-4bd7-a0be-762753e04501","Food","ShroomSip Sparkling Chaga Tea","Refresh your mind and body with the earthy notes of wild Chaga mushroom, blended with zesty lemon and natural bubbles. No sugar, just pure forest magic in a can.","food_1.png"
"ee04d6e5-1172-4c18-950a-ff71bfe61283","Food","LavaLeaf Spicy Honey Seaweed","The ultimate umami snack. Thin sheets of roasted seaweed coated in a sticky glaze of wildflower honey and red chili flakes. Sweet, salty, and spicy in every bite.","food_2.png"
"2e1d91d9-912f-4ead-a187-65019ec32916","Food","VelvetVine Purple Yam Spread","Elevate your morning toast with this vibrant purple sweet potato nut butter. Creamy, naturally sweet, and packed with antioxidants. A breakfast color revolution.","food_3.png"
"93480fb3-34d8-4aeb-a54c-23f613df0d93","Food","EmberDragon Pitaya Fire Sauce","A tropical heatwave in a bottle. Fermented dragon fruit meets habanero peppers for a vibrant pink sauce that brings the heat and a touch of exotic sweetness.","food_4.png"
"258c5f8f-4fbb-4bf0-b89e-405ab51089cd","Food","WildTrail Bison & Berry Bites","Fuel your adventure with high-protein bison jerky infused with real mountain blueberries. Smokey, savory, and subtly sweet for the perfect trail companion.","food_5.png"
"a90934d9-a2bd-453d-a2f9-a9bb7344bd44","Food","NomadBrew Rose-Cardamom Cold Brew","Slow-steeped coffee meets the floral elegance of Damascus roses and the warmth of green cardamom. A sophisticated, refreshing twist on your daily caffeine fix.","food_6.png"
"f47c86ba-688f-4497-8ef5-f33815c4b130","Food","GildedGrain Truffle & Gold Popcorn","Experience the height of luxury snacking. Gourmet popcorn tossed in white truffle oil and dusted with edible 24k gold flakes. Pure indulgence for your movie night.","food_7.png"
"26f10329-0391-4c94-b393-c60ed46100f9","Food","FloraFeast Jackfruit Slider Kit","Plant-based perfection. Shredded jackfruit in a tangy hickory smoke sauce, ready to be piled onto fluffy brioche buns. Everything you need for a BBQ feast.","food_8.png"
"f9d612df-617e-46e5-a675-abb396e73d0c","Food","CloudDairy Lavender Honey Yogurt","Thick, creamy goat milk yogurt swirled with organic lavender-infused honey. A soothing, probiotic-rich snack that feels like a spa day for your taste buds.","food_9.png"
"9a077270-8106-4d3c-b280-8ff2005a28ac","Food","ZestZing Lime-Smoked Chickpeas","Crunchy roasted chickpeas seasoned with smoked Spanish paprika and a splash of fresh lime. The high-fiber snack that delivers a bold, zesty punch.","food_10.png"
"f883e87e-2db5-47ae-9a4c-4982c125a9c4","Fitness","Zenith Core Smart Kettlebell","Experience the future of strength training with the Zenith Core. This smart kettlebell tracks your reps, form, and power output in real-time, syncing directly to your phone for data-driven gains.","fitness_1.png"
"aeec96c5-5bc3-491b-9a10-fe54ce9d9ce2","Fitness","PulseFlow Pro Recovery Boots","Speed up your recovery with PulseFlow Pro compression boots. Using dynamic air pressure technology, these boots help flush out soreness and rejuvenate tired muscles after your toughest workouts.","fitness_2.png"
"744a73b7-c4f0-40bd-8b73-f6fd5340889c","Fitness","AeroForce Matrix Wall Gym","Transform any room into a full-scale gym with the AeroForce Matrix. This wall-mounted digital cable system uses electromagnetic resistance to provide up to 200lbs of smooth, adjustable weight.","fitness_3.png"
"dff170c8-d0c1-4b1b-8257-7ab62f469b8c","Fitness","CloudStride Nitro Running Shoes","Run faster and longer with CloudStride Nitro. Featuring our proprietary nitrogen-infused foam and a responsive carbon plate, these shoes deliver maximum energy return for every mile.","fitness_4.png"
"2b6eaa6b-bea3-4882-8150-2f5028606d49","Fitness","AquaSync Smart Flask","Never forget to hydrate again. The AquaSync Smart Flask monitors your water intake and reminds you to drink with subtle light pulses, ensuring you stay at peak performance all day long.","fitness_5.png"
"be0bd1a4-1d05-41e2-ba3a-5d59b48989d9","Fitness","FlexiGrip 50 Adjustable Weights","Save space without sacrificing weight. The FlexiGrip 50 adjustable dumbbells replace an entire rack of weights, allowing you to switch from 5 to 50 lbs with a simple twist of the handle.","fitness_6.png"
